fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt
NORMAND SOLITAIRE,Offshoreinst. Nordsjøen,Risavika,2022-01-11 22:00:00+00:00,2022-01-12 11:00:00+00:00
NORSUND,Snekkevik - Kragerø,Kvinesdal,2022-01-12 13:00:00+00:00,2022-01-13 06:10:00+00:00
IRELAND,Slemmestad,Brevik,2022-01-14 08:55:00+00:00,2022-01-14 15:30:00+00:00
ARKLOW VALE,Belfast,Skipavik-Gulen,2022-01-12 12:00:00+00:00,2022-01-15 15:40:00+00:00
ARKLOW VALE,Skipavik-Gulen,Nakskov,2022-01-16 07:30:00+00:00,2022-01-17 19:00:00+00:00
FFS AMARANTH,Kopervik,Egersund,2022-01-13 09:05:00+00:00,2022-01-13 16:45:00+00:00
HOLMFOSS,Vartdal,Gunhildvågen,2022-01-13 09:00:00+00:00,2022-01-13 15:30:00+00:00
OLYMPIC ENERGY,Sandnes,Dusavik,2022-01-13 13:00:00+00:00,2022-01-13 15:00:00+00:00
HORDAFOR III,Salthella,Fensfjorden,2022-01-13 02:00:00+00:00,2022-01-13 07:00:00+00:00
LILL,Randers,Herre,2022-01-13 18:00:00+00:00,2022-01-14 16:00:00+00:00
KONG HARALD,Harstad ,Lødingen,2022-01-14 22:00:00+00:00,2022-01-15 01:31:00+00:00
KYST,Harstad ,Jøvik,2022-01-13 04:00:00+00:00,2022-01-13 17:15:00+00:00
MOSELDIJK,Herøya,Volos,2022-01-18 00:30:00+00:00,2022-01-21 08:30:00+00:00
VIKING PRINCE,Sandnessjøen,Offshoreinst Halten-Helgeland,2022-01-20 17:00:00+00:00,2022-01-21 07:00:00+00:00
OLYMPIC ZEUS,Skålevik,Skipavik-Gulen,2022-01-13 19:00:00+00:00,2022-01-14 01:00:00+00:00
SVEASUND,Sortland,Skutvik - Hamarøy,2022-01-14 07:05:00+00:00,2022-01-14 13:20:00+00:00
REMOY,Måløy,Nordsjøen,2022-01-20 22:00:00+00:00,2022-01-21 05:00:00+00:00
HALTBAKK NAVIGATOR,Kristiansand,Egersund,2022-01-14 03:30:00+00:00,2022-01-14 21:00:00+00:00
BEATE,Ålborg,Larvik,2022-01-16 15:00:00+00:00,2022-01-17 00:00:00+00:00
BJORNHAUG,Tromsø,Nord-Atlanteren,2022-01-14 07:30:00+00:00,2022-01-14 14:00:00+00:00
ARKLOW MARSH,Seljestokken,Gdansk,2022-01-18 18:20:00+00:00,2022-01-20 13:00:00+00:00
NORDKAPP,Kirkenes,Bergen,2022-01-14 12:00:00+00:00,2022-01-19 13:45:00+00:00
JSP SLEIPNER,Måløy,Ålesund,2022-01-17 14:00:00+00:00,2022-01-17 18:00:00+00:00
SJOBRIS,Tjørvåg,Mjølstadneset,2022-01-14 09:35:00+00:00,2022-01-14 10:35:00+00:00
NYSAND,Etne,Ølen,2022-01-13 17:10:00+00:00,2022-01-13 18:10:00+00:00
HARALD MARTIN,Sigerfjord,Stokmarknes,2022-01-14 14:15:00+00:00,2022-01-14 16:00:00+00:00
MEKHANIK PYATLIN,Honningsvåg,Warrenpoint,2022-01-16 08:00:00+00:00,2022-01-28 11:00:00+00:00
SCANBIO ELIDA,Lysøysund,Kvernhusvika,2022-01-14 10:30:00+00:00,2022-01-14 14:10:00+00:00
NS FRAYJA,Risavika,Offshoreinst. Nordsjøen,2022-01-14 16:00:00+00:00,2022-01-15 09:00:00+00:00
BB OCEAN,Åmøyfjorden,Stavanger,2022-01-14 15:40:00+00:00,2022-01-14 16:15:00+00:00
WITH JUNIOR,Trondheim,Ørnes,2022-01-14 22:00:00+00:00,2022-01-16 04:00:00+00:00
NORBAR ,Mongstadbase,Storesund,2022-01-14 23:10:00+00:00,2022-01-15 10:50:00+00:00
HAV NORDLANDIA,Husøy - Karmøy,Breiviga,2022-01-17 11:30:00+00:00,2022-01-17 14:15:00+00:00
COMABAR,Storesund,Kristiansund,2022-01-14 19:00:00+00:00,2022-01-16 08:00:00+00:00
BB COASTER,Husnes,Haugesund,2022-01-14 14:52:00+00:00,2022-01-14 18:45:00+00:00
AMULETH,Kristiansand,Kristiansand,2022-01-15 12:19:00+00:00,2022-01-15 12:29:00+00:00
THUN EMPOWER,Haugsøytangen Ankring,Iceland,2022-01-17 10:00:00+00:00,2022-01-20 05:00:00+00:00
BONA SAFIR,Måløy,Gjøsundet,2022-01-15 01:10:00+00:00,2022-01-15 08:50:00+00:00
KEY WEST,Vormedal,Storesund,2022-01-15 18:25:00+00:00,2022-01-15 19:00:00+00:00
HANNAH KRISTINA,Kristiansund,Botnaneset - Flora,2022-01-15 04:30:00+00:00,2022-01-15 16:00:00+00:00
SVEASUND,Ottersøy,Rørvik,2022-01-16 00:10:00+00:00,2022-01-16 00:30:00+00:00
HARGUN,Halhjem,Nordsjøen,2022-01-15 08:00:00+00:00,2022-01-17 11:00:00+00:00
NORMAND SEARCHER,Sløvåg,Mongstadbase,2022-01-15 09:30:00+00:00,2022-01-15 10:30:00+00:00
RO MASTER,Sandnessjøen,Tomma,2022-01-15 10:00:00+00:00,2022-01-15 11:30:00+00:00
REM EIR,Offshoreinst. Nordsjøen,Botnaneset - Flora,2022-01-15 12:40:00+00:00,2022-01-15 23:30:00+00:00
HARALD MARTIN,Stokmarknes,Dyrøyhamn,2022-01-15 19:30:00+00:00,2022-01-16 07:00:00+00:00
WITH HARVEST,Valsneset,Nordskaget - Frøya,2022-01-15 23:35:00+00:00,2022-01-16 03:00:00+00:00
HORDAFOR IV,Tromsø,Tromsø,2022-01-14 13:15:00+00:00,2022-01-14 14:15:00+00:00
BAL BULK,Nyborg,Langøya,2022-01-16 05:00:00+00:00,2022-01-17 23:45:00+00:00
BB SERVER,Kvinesdal,Flekkefjord,2022-01-16 09:35:00+00:00,2022-01-16 10:50:00+00:00
AUTOPROGRESS,Bremerhaven,Oslo,2022-01-16 02:00:00+00:00,2022-01-17 06:30:00+00:00
NORTH CRUYS,Mongstadbase,Sløvåg,2022-01-16 15:00:00+00:00,2022-01-16 17:00:00+00:00
TRONDS LAX,Høylandsbygda,Bergen,2022-01-16 09:30:00+00:00,2022-01-16 15:45:00+00:00
GAS MYTH,Frierfjorden Ankring,Rafnes,2022-01-18 09:05:00+00:00,2022-01-18 09:48:00+00:00
SCANBIO DART,Uthaug,Bjugn,2022-01-10 10:20:00+00:00,2022-01-10 11:20:00+00:00
GRINNA,Nakskov,Rødbyhavn,2022-01-11 12:15:00+00:00,2022-01-11 16:20:00+00:00
BEBE,Halden,Sarpsborg,2022-01-12 07:30:00+00:00,2022-01-12 11:00:00+00:00
BB OCEAN,Stavanger,Stavanger,2022-01-12 09:00:00+00:00,2022-01-12 10:00:00+00:00
BONA SAFIR,Vormedal,Måløy,2022-01-12 10:50:00+00:00,2022-01-13 06:35:00+00:00
NORTH BARENTS,Botnaneset - Flora,Dusavik,2022-01-12 14:00:00+00:00,2022-01-13 09:00:00+00:00
ROCKPIPER,Åmøyfjorden,Åmøyfjorden,2022-01-15 10:00:00+00:00,2022-01-15 19:00:00+00:00
EIDSVAAG OPAL,Lavangen,Bergeneset,2022-01-12 15:15:00+00:00,2022-01-13 01:00:00+00:00
NYVING,Tau,Vats,2022-01-12 17:00:00+00:00,2022-01-12 21:00:00+00:00
VIKING LADY,Offshoreinst Halten-Helgeland,Sandnessjøen,2022-01-12 17:00:00+00:00,2022-01-13 09:00:00+00:00
FALKVIK,Årdalstangen,Kollsnes Øst,2022-01-12 17:35:00+00:00,2022-01-13 07:00:00+00:00
AQUA HAVSOY,Sandverken lykt,Herøy ferjekai,2022-01-12 15:00:00+00:00,2022-01-12 21:30:00+00:00
BRATTSKJAER,Nordsjøen,Lødingen,2022-01-12 21:00:00+00:00,2022-01-13 01:00:00+00:00
SATURNUS,Slagentangen,Skålevik,2022-01-14 08:30:00+00:00,2022-01-15 14:00:00+00:00
LELIE C,Ijmuiden,Risavika,2022-01-12 11:00:00+00:00,2022-01-14 13:40:00+00:00
AQUA FJORD,Halsa Meløy,Brønnøysund,2022-01-12 21:00:00+00:00,2022-01-13 17:00:00+00:00
FRISIAN OCTA,Drammen,København,2022-01-17 07:10:00+00:00,2022-01-17 22:00:00+00:00
CSL ELBE,Rafnes,Delfzijl,2022-01-17 13:00:00+00:00,2022-01-18 17:00:00+00:00
FINNBORG,Nesnaflaket Ankring,Mosjøen,2022-01-22 17:35:00+00:00,2022-01-22 22:55:00+00:00
ELISABETH,Husøy - Karmøy,Langevåg,2022-01-13 18:04:00+00:00,2022-01-13 20:15:00+00:00
GASO JARL,Kvernhusvika,Averøy,2022-01-13 20:15:00+00:00,2022-01-14 08:00:00+00:00
STEIGEN,Skutvik - Hamarøy,Bogøy,2022-01-13 13:50:00+00:00,2022-01-13 15:05:00+00:00
ARKLOW WIND,Longyearbyen,Ålborg,2022-01-20 15:30:00+00:00,2022-01-27 22:59:00+00:00
JSP SLEIPNER,Fusa,Bergen,2022-01-16 02:00:00+00:00,2022-01-16 06:00:00+00:00
NORFRAKT,Straume,Sirevåg,2022-01-14 14:00:00+00:00,2022-01-15 06:25:00+00:00
NORMAND SUN,Dusavik,Offshoreinst. Nordsjøen,2022-01-14 15:30:00+00:00,2022-01-15 06:00:00+00:00
MAGNE ARVESEN,Barentshavet,Tromsø,2022-01-17 07:00:00+00:00,2022-01-17 10:00:00+00:00
MORETIND,Vistdal,Molde,2022-01-14 12:55:00+00:00,2022-01-14 17:00:00+00:00
BAARDSUND ,Storøya Øst,Kopervik,2022-01-13 13:00:00+00:00,2022-01-13 14:15:00+00:00
ROSLAGEN,Måløy,Seljestokken,2022-01-14 10:00:00+00:00,2022-01-14 14:30:00+00:00
RO NORTH,Sandnessjøen,Tjøtta,2022-01-14 17:30:00+00:00,2022-01-14 19:30:00+00:00
SILLE MARIE,Tromsø,Barentshavet,2022-01-14 16:57:00+00:00,2022-01-15 04:00:00+00:00
VIKING LADY,Sandnessjøen,Halsnøy,2022-01-14 10:45:00+00:00,2022-01-16 16:00:00+00:00
PEARL SEAWAYS,Frederikshavn,Oslo,2022-01-14 22:45:00+00:00,2022-01-15 08:14:00+00:00
BRENNHOLM,Skarholmen,Salthella,2022-01-15 12:00:00+00:00,2022-01-15 14:30:00+00:00
SVARTFOSS,Bessaker,Rørvik,2022-01-17 08:00:00+00:00,2022-01-17 10:30:00+00:00
ROBRIS,Bergen,Kvaløy,2022-01-15 19:00:00+00:00,2022-01-15 21:00:00+00:00
TROMS CASTOR,Sandnes,Dusavik,2022-01-15 19:45:00+00:00,2022-01-15 21:30:00+00:00
BERGEN STAR,Ågotnes,Dusavik,2022-01-16 03:30:00+00:00,2022-01-16 12:30:00+00:00
BOURBON MONSOON,Offshoreinst. Nordsjøen,Mongstadbase,2022-01-15 23:30:00+00:00,2022-01-16 04:15:00+00:00
RO WEST,Dale,Gunhildvågen,2022-01-15 13:00:00+00:00,2022-01-15 17:35:00+00:00
BB CONNECTOR,Flekkefjord,Kristiansand,2022-01-16 07:00:00+00:00,2022-01-16 17:00:00+00:00
VESTTIND,Barentshavet,Tromsø,2022-01-17 14:00:00+00:00,2022-01-18 13:00:00+00:00
REM MIST,Goliat,Rypefjord,2022-01-16 14:50:00+00:00,2022-01-16 22:00:00+00:00
VLADIMIR ZAGOSKIN,Båtsfjord,Barentshavet,2022-01-17 14:00:00+00:00,2022-01-19 14:00:00+00:00
SCAN TRANS,Rørvik,Lysøysund,2022-01-16 13:00:00+00:00,2022-01-16 21:50:00+00:00
ROHAV,Askvoll,Eggesbønes,2022-01-15 20:40:00+00:00,2022-01-16 05:50:00+00:00
ASTROL-1,Sløvåg Industriområde,Muuga,2022-01-20 18:30:00+00:00,2022-01-24 22:00:00+00:00
RODHOLMEN,Lødingen,Bodø,2022-01-16 20:30:00+00:00,2022-01-17 07:00:00+00:00
GÅSØ FREYJA,Fiskåbygd - Vanylven,Koparnes,2022-01-17 05:00:00+00:00,2022-01-17 09:00:00+00:00
KAPITAN KOKOVIN,Valderhaugfjorden,Hull,2022-01-12 11:00:00+00:00,2022-01-18 11:00:00+00:00
COOPER VIKING,Offshoreinst. Nordsjøen,Dusavik,2022-01-13 09:00:00+00:00,2022-01-13 19:00:00+00:00
SAMSKIP CHALLENGER,Kvinesdal,Hamburg,2022-01-18 00:35:00+00:00,2022-01-19 17:15:00+00:00
MSC ELKE F,Larvik,Antwerpen,2022-01-15 01:12:00+00:00,2022-01-18 05:00:00+00:00
ECO DREAM,Antwerpen,Kårstø,2022-01-11 21:00:00+00:00,2022-01-13 17:54:00+00:00
CHRISTINA,Rafnes,Hamina,2022-01-14 12:00:00+00:00,2022-01-17 16:00:00+00:00
WILSON DIRDAL,Koverhaara (koverhar),Kristiansand,2022-01-12 02:08:00+00:00,2022-01-15 16:48:00+00:00
KALKVIK,Moerdijk,Verdal,2022-01-11 07:18:00+00:00,2022-01-14 17:00:00+00:00
ROHAV,Florø,Gjermundshamn,2022-01-12 12:30:00+00:00,2022-01-13 01:30:00+00:00
NORHOLM,Herre,Rostock,2022-01-13 17:00:00+00:00,2022-01-15 04:00:00+00:00
VAITERE 2,Havøysund,Ullsfjord,2022-01-12 16:43:00+00:00,2022-01-13 06:30:00+00:00
TUNFISK,Nordsjøen,Kristiansund,2022-01-12 17:56:00+00:00,2022-01-12 18:56:00+00:00
FREESIA SEAWAYS,Brevik,Immingham,2022-01-14 03:00:00+00:00,2022-01-15 04:00:00+00:00
HAV SKANDIC,Jelsa,Emden,2022-01-13 03:30:00+00:00,2022-01-15 09:00:00+00:00
WILSON ONEGA,Aviles,Salten,2022-01-10 16:00:00+00:00,2022-01-19 08:00:00+00:00
FEDERAL FRONTIER,Sunderland,Glomfjord,2022-01-11 21:00:00+00:00,2022-01-15 17:00:00+00:00
WILSON LEER,Herøya,Stettin,2022-01-20 01:15:00+00:00,2022-01-21 20:00:00+00:00
ROBRIS,Florø,Haugsøytangen Ankring,2022-01-13 14:00:00+00:00,2022-01-13 22:00:00+00:00
FURE NORD,Slagentangen,Brofjorden,2022-01-16 16:40:00+00:00,2022-01-16 20:30:00+00:00
BERGENSFJORD,Risavika,Bergen,2022-01-14 07:52:00+00:00,2022-01-14 14:24:00+00:00
RONJA KVALOY,Ålesund,Aure,2022-01-14 09:00:00+00:00,2022-01-15 07:00:00+00:00
STADT KINN,Florø,Florø,2022-01-14 11:00:00+00:00,2022-01-14 11:20:00+00:00
SVARTFOSS,Florø,Måløy,2022-01-14 17:00:00+00:00,2022-01-14 19:00:00+00:00
BRENNHOLM,Måløy,Skarholmen,2022-01-14 13:00:00+00:00,2022-01-14 19:00:00+00:00
NORMAND FALNES,Florø,Frøysjøen,2022-01-14 13:00:00+00:00,2022-01-14 13:30:00+00:00
SUPERSPEED 1,Kristiansand,Hirtshals,2022-01-14 13:07:00+00:00,2022-01-14 16:30:00+00:00
CARTEN ELINA,Antwerpen,Larvik,2022-01-13 19:00:00+00:00,2022-01-16 05:50:00+00:00
ROBRIS,Florø,Bergen,2022-01-14 14:00:00+00:00,2022-01-15 01:00:00+00:00
SC AHTELA,Husøy - Karmøy,Risavika,2022-01-16 10:40:00+00:00,2022-01-16 13:15:00+00:00
SJOBRIS,Mjølstadneset,Nordsjøen,2022-01-14 19:09:00+00:00,2022-01-16 15:54:00+00:00
SVEALAND,Leknes,Svolvær,2022-01-16 07:30:00+00:00,2022-01-16 10:30:00+00:00
SAMSKIP KVITBJORN,Sortland,Kristiansund,2022-01-15 10:25:00+00:00,2022-01-17 15:00:00+00:00
ORION OLYMPUS,Florø,Kristiansund,2022-01-15 17:00:00+00:00,2022-01-16 21:00:00+00:00
TAITS ,Lerwick,Ellingsøy,2022-01-15 06:00:00+00:00,2022-01-16 06:00:00+00:00
SPANACO RELIABILITY,Byggnes - Karmøy,Runcorn,2022-01-17 15:00:00+00:00,2022-01-21 18:00:00+00:00
RO MASTER,Tomma,Herøy ferjekai,2022-01-15 15:00:00+00:00,2022-01-15 17:30:00+00:00
PAULA,Harøysundet,Offshore,2022-01-17 16:40:00+00:00,2022-01-18 11:00:00+00:00
TRANSPORTER,Fredrikstad,Halden,2022-01-18 20:00:00+00:00,2022-01-18 21:50:00+00:00
GAMLE KVALSTEIN,Fosnavåg,Ballstad,2022-01-14 15:30:00+00:00,2022-01-19 22:59:00+00:00
HAV STREYM,Tomma,Klaksvik,2022-01-15 20:50:00+00:00,2022-01-19 05:00:00+00:00
HAVDRON,Nordsjøen,Fosnavåg,2022-01-16 07:01:00+00:00,2022-01-16 09:30:00+00:00
MONSUN SR,Nordsjøen,Kristiansand,2022-01-16 07:51:00+00:00,2022-01-16 13:50:00+00:00
KYST,Harstad ,Sortland,2022-01-16 12:30:00+00:00,2022-01-16 19:30:00+00:00
HORDAFOR VII,Senjahopen,Brettesnes,2022-01-16 12:35:00+00:00,2022-01-16 22:35:00+00:00
EAGLE BARENTS,Heidrun feltet,Mongstad,2022-01-15 17:30:00+00:00,2022-01-17 16:06:00+00:00
STAVFJORD,Jelsa,Hanstholm,2022-01-16 20:15:00+00:00,2022-01-18 05:00:00+00:00
STOREKNUT,Torangsvåg,Manger,2022-01-17 07:10:00+00:00,2022-01-17 10:10:00+00:00
SEA-CARGO EXPRESS,Husøy - Karmøy,Bergen,2022-01-17 06:00:00+00:00,2022-01-17 13:00:00+00:00
LADY AYANA,Frederikshavn,Pasajes,2022-01-17 15:40:00+00:00,2022-01-22 15:40:00+00:00
TAUPIRI,Rovde,Eggesbønes,2022-01-17 04:20:00+00:00,2022-01-17 08:00:00+00:00
TRYGVASON,Bømlo,Husøy - Karmøy,2022-01-17 08:50:00+00:00,2022-01-17 12:20:00+00:00
MEKHANIK MAKARIN,Strandviksflaket Ankring,Arkhangelsk,2022-01-17 11:30:00+00:00,2022-01-31 09:10:00+00:00
POLARLYS,Tromsø,Bergen,2022-01-18 00:30:00+00:00,2022-01-21 13:45:00+00:00
SIEM SYMPHONY,Risavika,Offshoreinst. Nordsjøen,2022-01-21 01:00:00+00:00,2022-01-21 15:00:00+00:00
LORAN,Barentshavet,Tromsø,2022-01-17 07:00:00+00:00,2022-01-20 05:00:00+00:00
HORDAFOR III,Salthella,Vaksdal,2022-01-17 08:30:00+00:00,2022-01-17 17:00:00+00:00
FALKFJORD,Mandal,Wismar,2022-01-17 19:25:00+00:00,2022-01-19 05:00:00+00:00
SCANTANK,Storøya Øst,Kvitsøy,2022-01-18 04:05:00+00:00,2022-01-18 06:53:00+00:00
ISLAND CONTENDER,Tananger,Offshoreinst. Nordsjøen,2022-01-17 22:00:00+00:00,2022-01-18 13:00:00+00:00
EDDA FAUNA,Husøy - Karmøy,Killingøy,2022-01-17 16:45:00+00:00,2022-01-17 18:00:00+00:00
NCL SVELGEN,Orkanger,Ålesund,2022-01-21 13:35:00+00:00,2022-01-22 00:40:00+00:00
ENDRE DYROY,Måløy,Jan Mayen,2022-01-17 23:30:00+00:00,2022-01-21 22:22:00+00:00
GASO JARL,Sistranda,Averøy,2022-01-18 01:00:00+00:00,2022-01-18 09:00:00+00:00
SVEALAND,Risøyhamn,Myre-Øksnes,2022-01-18 11:00:00+00:00,2022-01-18 14:20:00+00:00
BERGEN LNG,Kollsnes Øst,Kleppestø,2022-01-11 18:00:00+00:00,2022-01-11 21:00:00+00:00
BELOMORYE,Velsen,Båtsfjord,2022-01-05 17:00:00+00:00,2022-01-13 07:00:00+00:00
NORMAND SYGNA,Offshoreinst. Nordsjøen,Dusavik,2022-01-11 20:00:00+00:00,2022-01-12 07:00:00+00:00
TORSBORG,Mongstadbase,Mongstadbase,2022-01-12 08:30:00+00:00,2022-01-12 15:30:00+00:00
BAUS,Fredrikstad,Langøya,2022-01-12 09:15:00+00:00,2022-01-12 14:00:00+00:00
FALKSUND,Årdal - Hjelmeland,Sand,2022-01-12 12:45:00+00:00,2022-01-12 16:35:00+00:00
BARENTS OCEAN,Oslo,Langøya,2022-01-12 14:30:00+00:00,2022-01-12 18:30:00+00:00
NORMAND SEARCHER,Mongstadbase,Nordsjøen,2022-01-12 14:45:00+00:00,2022-01-13 02:00:00+00:00
WILSON ALSTER,Larvik,Dordrecht,2022-01-14 17:00:00+00:00,2022-01-16 08:00:00+00:00
ISLAND CONTENDER,Risavika,Offshoreinst. Nordsjøen,2022-01-12 15:00:00+00:00,2022-01-13 09:00:00+00:00
BERGENSFJORD,Risavika,Hirtshals,2022-01-12 23:10:00+00:00,2022-01-13 10:30:00+00:00
GULLHA,Svelvik,Oslo,2022-01-13 07:05:00+00:00,2022-01-13 11:15:00+00:00
HELLEVIG I,Kristiansand,Nordsjøen,2022-01-13 14:02:00+00:00,2022-01-13 23:28:00+00:00
WILSON MAAS,Høyevarde ankring,Fonnesflaket Ankring,2022-01-14 08:55:00+00:00,2022-01-14 20:05:00+00:00
NORMAND SUN,Offshoreinst. Nordsjøen,Dusavik,2022-01-13 19:00:00+00:00,2022-01-14 07:30:00+00:00
ROBAS,Måløy,Rubbestadneset,2022-01-05 09:00:00+00:00,2022-01-06 13:00:00+00:00
SUPERSPEED 2,Larvik,Hirtshals,2022-01-12 07:00:00+00:00,2022-01-12 10:45:00+00:00
BALTIC AMELIE,Farsund,Sandnes,2022-01-12 13:00:00+00:00,2022-01-13 00:15:00+00:00
TIAN HUI,Husnes,Vaasa (vasa),2022-01-14 14:30:00+00:00,2022-01-19 18:00:00+00:00
TEMPO,Mandal,Nordsjøen,2022-01-12 08:00:00+00:00,2022-01-12 15:30:00+00:00
KLEVSTRAND,Herøya,Sirevåg,2022-01-12 21:00:00+00:00,2022-01-14 05:00:00+00:00
MAVKA,Brofjorden,Ålesund,2022-01-12 21:30:00+00:00,2022-01-14 21:00:00+00:00
COEY VIKING,Botnaneset - Flora,Offshoreinst. Nordsjøen,2022-01-14 17:39:00+00:00,2022-01-15 01:00:00+00:00
SKANDI MONGSTAD,Leirvik,Bergen,2022-01-12 15:30:00+00:00,2022-01-12 22:00:00+00:00
FALKSUND,Sand,Bøvågen - Karmøy,2022-01-12 19:30:00+00:00,2022-01-13 00:20:00+00:00
INTERLINK CELERITY,Stettin,Jøssingfjord,2022-01-12 14:36:00+00:00,2022-01-14 11:30:00+00:00
WITH FROHAVET,Tonnes,Rørvik,2022-01-13 07:00:00+00:00,2022-01-13 16:00:00+00:00
RUBIN,Tromsø,Stokmarknes,2022-01-13 07:00:00+00:00,2022-01-13 19:00:00+00:00
LEIRO,Helle - Forsand,Vejle,2022-01-17 16:00:00+00:00,2022-01-19 05:00:00+00:00
GERDA MARIE,Torangsvåg,Nordsjøen,2022-01-13 11:45:00+00:00,2022-01-13 21:50:00+00:00
CSL ELBE,Delfzijl,Rafnes,2022-01-14 06:00:00+00:00,2022-01-15 19:36:00+00:00
FEDERAL ALSTER,Quebec,Kristiansand,2022-01-05 20:45:00+00:00,2022-01-17 10:50:00+00:00
NYVING,Helle - Forsand,Straume,2022-01-13 18:00:00+00:00,2022-01-14 06:00:00+00:00
BB SUPPORTER,Bergen,Bergen,2022-01-14 04:45:00+00:00,2022-01-14 06:00:00+00:00
FJORDSTRAUM,Sandnessjøen,Melkøya,2022-01-18 10:30:00+00:00,2022-01-19 22:45:00+00:00
OTTO SVERDRUP,Måløy,Ålesund,2022-01-14 08:00:00+00:00,2022-01-14 14:00:00+00:00
EEMS COBALT,Hellvik,Bremerhaven,2022-01-15 15:40:00+00:00,2022-01-17 06:00:00+00:00
RO NORTH,Herøy ferjekai,Sandnessjøen,2022-01-13 11:00:00+00:00,2022-01-13 19:00:00+00:00
RO WEST,Vågsfjorden,Måløy,2022-01-10 17:00:00+00:00,2022-01-12 16:00:00+00:00
NORMAND SAPPHIRE,Bergen,Bergen,2022-01-14 07:00:00+00:00,2022-01-14 16:00:00+00:00
HOLMFOSS,Skudeneshavn,Velsen,2022-01-15 09:00:00+00:00,2022-01-16 16:00:00+00:00
VITYAZ,Tromsø,Tromsø,2022-01-14 20:30:00+00:00,2022-01-14 21:00:00+00:00
OTTO SVERDRUP,Harstad ,Alta,2022-01-16 18:30:00+00:00,2022-01-17 12:30:00+00:00
M. YTTERSTAD,Tromsø,Skjervøy,2022-01-14 14:00:00+00:00,2022-01-15 01:00:00+00:00
NCL HAUGESUND,Risavika,Husøy - Karmøy,2022-01-16 21:24:00+00:00,2022-01-17 00:30:00+00:00
RO FORTUNE,Torsken,Øksfjord,2022-01-11 07:30:00+00:00,2022-01-11 19:30:00+00:00
SCANBIO DART,Uthaug,Trondheim,2022-01-11 18:00:00+00:00,2022-01-11 22:30:00+00:00
MARTIN H,Hekkelstrand,Narvik,2022-01-11 17:00:00+00:00,2022-01-11 18:40:00+00:00
NYFJELL,Årdal - Hjelmeland,Bergen,2022-01-11 15:15:00+00:00,2022-01-12 05:30:00+00:00
ICE,Husøy - Karmøy,Swinoujscie,2022-01-11 21:20:00+00:00,2022-01-13 21:00:00+00:00
CABAL,Vikan - Bodø,Bodø,2022-01-11 19:00:00+00:00,2022-01-11 20:30:00+00:00
ASBJORN SELSBANE,Tromsø,Skjervøy,2022-01-11 21:05:00+00:00,2022-01-12 02:00:00+00:00
BØEMMELBAS,Husøy - Karmøy,Averøy,2022-01-11 23:20:00+00:00,2022-01-13 05:00:00+00:00
RO FORTUNE,Øksfjord,Lauksundet,2022-01-11 21:30:00+00:00,2022-01-12 03:30:00+00:00
KRABBSUND,Bergeneset,Narvik,2022-01-12 13:50:00+00:00,2022-01-13 07:00:00+00:00
M. YTTERSTAD,Træna,Tromsø,2022-01-12 16:00:00+00:00,2022-01-13 20:00:00+00:00
SCAN-FJELL,Husøy - Karmøy,Høyanger,2022-01-15 15:40:00+00:00,2022-01-16 08:00:00+00:00
ROSLAGEN,Vadla,Storesund,2022-01-12 18:00:00+00:00,2022-01-12 22:45:00+00:00
SCANTANK,Ombo,Storøya Øst,2022-01-13 12:03:00+00:00,2022-01-13 16:59:00+00:00
OSLO FOREST 2,Torrevieja,Eydehavn - Arendal,2022-01-08 14:50:00+00:00,2022-01-16 08:40:00+00:00
WILSON DUNDALK,Hjørungavåg,Alta,2022-01-20 22:00:00+00:00,2022-01-23 17:45:00+00:00
INGRID MAJALA,Midsund,Nord-Atlanteren,2022-01-13 08:16:00+00:00,2022-01-15 18:16:00+00:00
HAVILA FORESIGHT,Nordsjøen,Mongstadbase,2022-01-13 09:00:00+00:00,2022-01-13 18:00:00+00:00
KEY MARMARA,Averøy,Kristiansund,2022-01-15 16:50:00+00:00,2022-01-15 19:00:00+00:00
INTERLINK CELERITY,Jøssingfjord,Jøssingfjord,2022-01-16 07:30:00+00:00,2022-01-18 08:35:00+00:00
ROSTEIN,Lauksundet,Uløybukt,2022-01-12 11:00:00+00:00,2022-01-12 12:25:00+00:00
FALKVIK,Skogsvåg,Kollsnes Øst,2022-01-13 14:05:00+00:00,2022-01-13 16:35:00+00:00
MAVKA,Trondheim,Harstad ,2022-01-15 23:30:00+00:00,2022-01-17 02:00:00+00:00
ARKLOW FERN,Frederikshavn,Herøya,2022-01-14 19:00:00+00:00,2022-01-15 06:45:00+00:00
FORPOST,Barentshavet,Kirkenes Ankring,2022-01-14 09:00:00+00:00,2022-01-14 14:33:00+00:00
AURORA GALAXY,Bergen,Mongstadbase,2022-01-14 01:00:00+00:00,2022-01-14 07:00:00+00:00
ROBRIS,Haugsøytangen Ankring,Florø,2022-01-13 23:01:00+00:00,2022-01-14 07:00:00+00:00
SIDDIS SAILOR,Bergen,Mongstadbase,2022-01-13 22:59:00+00:00,2022-01-14 04:30:00+00:00
ROCKPIPER,Sløvåg Industriområde,Haugsøytangen Ankring,2022-01-19 00:59:00+00:00,2022-01-19 02:00:00+00:00
EIKEFJORD,Grangemouth,Fonnes,2022-01-14 16:30:00+00:00,2022-01-16 15:30:00+00:00
